,ADDRESS,DATE,PRICE,SQFT,BEDS,BATH,PARK,UNIT#,Neighbourhood,Codes
8017,20 Gladstone Ave,2020-05-01,647000,649,2.0,1,1.0,311,6,00000000203
8141,38 Cameron St,2020-05-01,715000,649,1.0,2,0.0,215,7,00000000388
4709,560 Front St W,2020-05-01,668000,649,1.0,1,1.0,224,1,00000005604
4763,375 King St W,2020-05-01,585000,549,1.0,1,0.0,704,1,00000003756
1769,151 Dan Leckie Way,2020-05-01,758888,749,2.0,2,1.0,211,1,00000001517
1754,55 Stewart St,2020-05-01,1270000,1099,2.0,2,1.0,9991007,1,00000000558
4784,39 Brant St,2020-05-01,695000,549,1.0,1,1.0,913,1,00000000393
4783,208 Queens Quay W,2020-05-01,615000,549,1.0,1,1.0,405,1,00000002081
4782,560 King St W,2020-05-01,718000,749,1.0,1,1.0,502,1,00000005606
7466,100 Western Battery Rd,2020-06-01,675101,749,2.0,1,1.0,1510,5,00000001007
7475,231 Fort York Blvd,2020-06-01,458900,400,0.0,1,0.0,2210,5,00000002317
7751,36 Lisgar St,2020-06-01,518000,549,2.0,2,1.0,1712,6,00000000368
7496,209 Fort York Blvd,2020-06-01,649000,649,1.0,1,1.0,1265,5,00000002097
8138,15 Beverley St,2020-06-01,930000,949,2.0,2,1.0,608,7,00000000154
6117,766 King St W,2020-06-01,974000,949,2.0,2,1.0,405,5,00000007666
1779,8 Telegram Mews,2020-06-01,745000,749,2.0,2,1.0,1209,1,00000000081
8022,20 Minowan Miikan Lane,2020-06-01,609000,649,1.0,1,0.0,803,6,00000000207
1729,3 Navy Wharf Crt,2020-06-01,873000,949,2.0,2,1.0,2208,1,00000000031
1792,65 Bremner Blvd,2020-06-01,810000,749,2.0,2,1.0,4302,1,00000000652
4835,38 Dan Leckie Way,2020-06-01,564000,649,1.0,1,1.0,322,1,00000000387
4855,19 Grand Trunk Cres,2020-06-01,675000,749,2.0,1,1.0,303,1,000000001910
4905,77 Harbour Sq,2020-06-01,549000,400,0.0,1,1.0,2403,1,00000000777
4893,8 Charlotte St,2020-06-01,835000,749,1.0,1,1.0,1001,1,00000000081
